,name,city,state,n_students,type,acceptance_difficulty,freshman_satisfaction,grad_rate,resident_cost,nonresident_cost,need_met,merit_aid,avg_grad_debt,gender_mix,pct_american_indian,pct_african_american,pct_asian_pacific_islander,pct_hispanic,pct_international
1743,University of South Carolina Beaufort,Bluffton,SC,1980.0,Pub,Min,0.58,0.136,17900.0,28946.0,,,,Coed,0.004,0.205,0.015,0.067,
1744,University of South Carolina Upstate,Spartanburg,SC,5594.0,Pub,Mod,0.74,0.358,26307.0,37809.0,0.52,0.81,27935.0,Coed,0.002,0.281,0.025,0.049,0.025
1745,University of South Dakota,Vermillion,SD,7590.0,Pub,Min,0.774,0.401,22856.0,26220.0,0.57,0.67,29548.0,Coed,0.016,0.034,0.015,0.043,0.021
1746,University of South Florida,Tampa,FL,32238.0,Pub,Mod,0.91,0.551,23320.0,34234.0,0.68,0.19,21565.0,Coed,0.002,0.10800000000000001,0.077,0.228,0.067
1747,University of South Florida - Saint Petersburg,St. Petersburg,FL,4334.0,Pub,Mod,,,22281.0,33195.0,,,,Coed,0.003,0.085,0.033,0.17300000000000001,0.006999999999999999
1748,University of South Florida - Sarasota-Manatee,Sarasota,FL,1917.0,Pub,Mod,0.89,,,,,,,Coed,0.004,0.055,0.025,0.168,0.027000000000000003
1749,University of Southern California,Los Angeles,CA,19170.0,Priv,Most,,0.768,77909.0,77909.0,1.0,0.53,28228.0,Coed,0.002,0.053,0.239,0.166,0.139
1750,University of Southern Indiana,Evansville,IN,7513.0,Pub,Mod,0.72,0.26899999999999996,20655.0,31311.0,0.89,0.94,24074.0,Coed,0.002,0.044000000000000004,0.013999999999999999,0.038,0.021
1751,University of Southern Maine,Portland,ME,6189.0,Pub,Mod,0.625,0.136,20276.0,34016.0,0.81,0.19,,Coed,0.006999999999999999,0.043,0.023,0.024,0.013000000000000001
1752,University of Southern Mississippi,Hattiesburg,MS,11815.0,Pub,Mod,0.715,0.259,23516.0,25516.0,0.72,0.63,28068.0,Coed,0.005,0.28800000000000003,0.013999999999999999,0.034,0.016
1753,University of St. Francis,Fort Wayne,IN,1778.0,Priv,Non,0.7440000000000001,0.39899999999999997,45608.0,45608.0,0.8,0.21,28428.0,Coed,0.001,0.075,0.016,0.084,0.009000000000000001
1754,University of St. Francis,Joliet,IL,1371.0,Priv,Mod,0.805,0.406,47810.0,47810.0,0.86,0.28,30851.0,Coed,0.003,0.08199999999999999,0.022000000000000002,0.225,0.040999999999999995
1755,University of St. Mary,Leavenworth,KS,732.0,Priv,Mod,0.615,0.379,42590.0,42590.0,0.82,,,Coed,0.011000000000000001,0.122,0.024,0.165,0.012
1756,University of St. Thomas,Houston,TX,2047.0,Priv,Mod,0.82,0.336,45756.0,45756.0,0.72,0.25,29896.0,Coed,0.002,0.076,0.135,0.51,0.085
1757,University of St. Thomas,St. Paul,MN,6395.0,Priv,Mod,0.86,0.643,61458.0,61458.0,0.88,0.34,40983.0,Coed,0.002,0.034,0.044000000000000004,0.054000000000000006,0.027999999999999997
1758,University of Tampa,Tampa,FL,8443.0,Priv,Mod,0.763,0.502,41128.0,41128.0,0.62,0.92,32727.0,Coed,0.001,0.052000000000000005,0.022000000000000002,0.145,0.091
1759,University of Tennessee,Knoxville,TN,22815.0,Pub,Mod,0.87,0.48700000000000004,32010.0,50200.0,0.62,0.2,25372.0,Coed,0.002,0.062,0.04,0.045,0.013999999999999999
1760,University of Tennessee at Chattanooga,Chattanooga,TN,10176.0,Pub,Mod,0.73,0.221,25265.0,41383.0,0.67,0.25,24274.0,Coed,0.003,0.10300000000000001,0.022000000000000002,0.043,0.013999999999999999
1761,University of Tennessee at Martin,Martin,TN,6694.0,Pub,Mod,0.737,0.271,21714.0,27754.0,0.45,0.81,27866.0,Coed,0.004,0.133,0.008,0.028999999999999998,0.017
1762,University of Texas Health Science Center at Houston,Houston,TX,677.0,Pub,Mod,,0.9470000000000001,,,0.0,,,Coed,0.011000000000000001,0.114,0.179,0.24600000000000002,0.052000000000000005
1763,University of Texas Medical Branch,Galveston,TX,492.0,Pub,Very,,,,,,,,Coed,,,,,
1764,University of Texas at Arlington,Arlington,TX,29883.0,Pub,Mod,0.693,0.17600000000000002,20552.0,35436.0,0.65,0.49,15559.0,Coed,0.003,0.155,0.11599999999999999,0.251,0.049
1765,University of Texas at Austin,Austin,TX,40804.0,Pub,Mod,0.951,0.609,27728.0,55230.0,0.72,0.23,24244.0,Coed,0.001,0.045,0.235,0.249,0.054000000000000006
1766,University of Texas at Dallas,Richardson,TX,18388.0,Pub,Very,0.87,0.521,29964.0,54690.0,0.72,0.27,23884.0,Coed,0.002,0.06,0.326,0.19,0.04
1767,University of Texas at El Paso,El Paso,TX,21464.0,Pub,Min,0.73,0.149,24321.0,39684.0,0.57,0.13,23632.0,Coed,0.001,0.025,0.011000000000000001,0.8859999999999999,0.059000000000000004
1768,University of Texas at San Antonio,San Antonio,TX,26444.0,Pub,Mod,0.736,0.152,20881.0,35883.0,0.54,0.04,24585.0,Coed,0.002,0.094,0.059000000000000004,0.565,0.02
1769,University of Texas at Tyler,Tyler,TX,6318.0,Pub,Mod,0.619,0.245,22316.0,36326.0,0.48,0.13,18248.0,Coed,0.003,0.095,0.036000000000000004,0.168,0.02
1770,University of Texas of the Permian Basin,Odessa,TX,6065.0,Pub,Mod,0.659,0.23800000000000002,22613.0,25163.0,0.86,0.72,13445.0,Coed,0.004,0.054000000000000006,0.03,0.475,0.018000000000000002
1771,University of Toledo,Toledo,OH,16065.0,Pub,Non,0.759,0.244,27603.0,36963.0,0.61,0.45,25708.0,Coed,0.002,0.11199999999999999,0.023,0.055999999999999994,0.055999999999999994
1772,University of Tulsa,Tulsa,OK,3295.0,Priv,Very,0.88,0.5379999999999999,61273.0,61273.0,0.84,0.38,35985.0,Coed,0.031,0.07,0.065,0.08900000000000001,0.155
1773,University of Utah,Salt Lake City,UT,24635.0,Pub,Mod,0.91,0.311,23869.0,42474.0,0.67,0.63,21792.0,Coed,0.004,0.013999999999999999,0.066,0.13,0.046
1774,University of Vermont,Burlington,VT,11328.0,Pub,Mod,0.868,0.648,35670.0,60558.0,0.73,0.42,32950.0,Coed,0.0,0.013000000000000001,0.028999999999999998,0.04,0.049
1775,University of Virginia,Charlottesville,VA,16777.0,Pub,Very,0.9690000000000001,0.889,34231.0,67094.0,1.0,0.05,24682.0,Coed,0.001,0.071,0.153,0.068,0.043
1776,University of Virginia's College at Wise,Wise,VA,2095.0,Pub,Mod,0.675,0.228,25013.0,42748.0,0.89,0.63,30381.0,Coed,0.001,0.11,0.009000000000000001,0.012,
1777,University of Washington,Seattle,WA,32099.0,Pub,Very,0.938,0.665,28394.0,55095.0,0.74,0.1,20094.0,Coed,0.005,0.035,0.304,0.099,0.156
1778,University of Washington Bothell,Bothell,WA,5401.0,Pub,Mod,0.867,0.41600000000000004,28715.0,55416.0,0.72,0.01,18177.0,Coed,0.005,0.075,0.325,0.11,0.09
1779,University of Washington Tacoma,Tacoma,WA,4544.0,Pub,Mod,0.8079999999999999,0.465,28964.0,55665.0,0.72,0.11,15601.0,Coed,0.008,0.098,0.217,0.152,0.037000000000000005
1780,University of West Alabama,Livingston,AL,2159.0,Pub,Min,0.623,0.146,27844.0,36944.0,0.21,0.64,21562.0,Coed,0.004,0.452,0.004,0.02,0.05
1781,University of West Florida,Pensacola,FL,10200.0,Pub,Mod,0.7190000000000001,0.259,33976.0,33976.0,0.66,0.29,,Coed,0.005,0.134,0.035,0.092,0.027999999999999997
1782,University of West Georgia,Carrollton,GA,11135.0,Pub,Mod,0.688,0.152,25523.0,39341.0,0.52,0.21,29413.0,Coed,0.001,0.379,0.013999999999999999,0.076,0.01
1783,University of Wisconsin - Eau Claire,Eau Claire,WI,10113.0,Pub,Mod,0.815,0.373,20822.0,29098.0,0.82,0.1,26800.0,Coed,0.003,0.01,0.036000000000000004,0.032,0.019
1784,University of Wisconsin - Green Bay,Green Bay,WI,6758.0,Pub,Mod,0.74,0.244,19546.0,27396.0,0.8,0.07,22664.0,Coed,0.013000000000000001,0.018000000000000002,0.033,0.044000000000000004,0.013999999999999999
1785,University of Wisconsin - La Crosse,La Crosse,WI,9676.0,Pub,Mod,0.86,0.41600000000000004,17564.0,26233.0,0.69,0.2,26706.0,Coed,0.001,0.008,0.022000000000000002,0.033,0.011000000000000001
1786,University of Wisconsin - Madison,Madison,WI,32196.0,Pub,Very,0.953,0.609,26613.0,53673.0,0.76,0.1,28229.0,Coed,0.002,0.023,0.067,0.057,0.091
1787,University of Wisconsin - Milwaukee,Milwaukee,WI,20256.0,Pub,Mod,0.74,0.18,23180.0,34460.0,0.44,0.31,37979.0,Coed,0.004,0.07400000000000001,0.069,0.11800000000000001,0.035
1788,University of Wisconsin - Oshkosh,Oshkosh,WI,13194.0,Pub,Mod,0.75,0.163,15312.0,22886.0,0.62,0.4,32502.0,Coed,0.006,0.019,0.04,0.033,0.008
1789,University of Wisconsin - Parkside,Kenosha,WI,4168.0,Pub,Mod,0.727,0.10300000000000001,20619.0,28889.0,0.68,0.31,28504.0,Coed,0.001,0.092,0.038,0.161,0.017
1790,University of Wisconsin - Platteville,Platteville,WI,7520.0,Pub,Mod,0.787,0.19,18919.0,26770.0,,0.28,15785.0,Coed,0.0,0.013999999999999999,0.013000000000000001,0.032,0.013000000000000001
1791,University of Wisconsin - River Falls,River Falls,WI,5725.0,Pub,Mod,0.754,0.348,18704.0,26277.0,0.51,0.37,27684.0,Coed,0.001,0.013999999999999999,0.031,0.036000000000000004,0.016
1792,University of Wisconsin - Stevens Point,Stevens Point,WI,7788.0,Pub,Mod,0.73,,19190.0,27893.0,0.79,0.46,31715.0,Coed,0.004,0.023,0.032,0.037000000000000005,0.015
1793,University of Wisconsin - Stout,Menomonie,WI,8116.0,Pub,Mod,0.685,0.24100000000000002,19818.0,27785.0,0.81,0.3,30409.0,Coed,0.035,0.019,0.89,0.006999999999999999,0.019
1794,University of Wisconsin - Superior,Superior,WI,2294.0,Pub,Min,0.703,0.18,19462.0,27035.0,0.82,0.34,30223.0,Coed,0.016,0.019,0.008,0.027999999999999997,0.1
1795,University of Wisconsin - Whitewater,Whitewater,WI,11128.0,Pub,Mod,,0.32,18323.0,27044.0,0.57,0.27,28050.0,Coed,0.002,0.040999999999999995,0.015,0.063,0.008
1796,University of Wyoming,Laramie,WY,9998.0,Pub,Mod,0.78,0.271,20298.0,32868.0,0.67,0.71,24474.0,Coed,0.006,0.011000000000000001,0.012,0.073,0.036000000000000004
1797,University of the Arts,Philadelphia,PA,1681.0,Priv,Mod,0.82,0.557,61102.0,61102.0,0.57,1.0,37575.0,Coed,0.004,0.175,0.026000000000000002,0.111,0.044000000000000004
1798,University of the Cumberlands,Williamsburg,KY,3082.0,Priv,Mod,0.65,0.23600000000000002,32000.0,32000.0,0.8,0.2,25198.0,Coed,0.004,0.055,0.005,0.02,0.04
1799,University of the District of Columbia,Washington,DC,4491.0,Pub,Min,0.52,0.047,,,,0.23,22964.0,Coed,0.002,0.636,0.027000000000000003,0.08800000000000001,0.032
1800,University of the Incarnate Word,San Antonio,TX,5558.0,Priv,Min,0.74,0.259,49900.0,49900.0,0.6,0.05,3909.0,Coed,0.003,0.071,0.027000000000000003,0.586,0.049
1801,University of the Ozarks,Clarksville,AR,651.0,Priv,Mod,,,,,,,,Coed,0.01,0.068,0.005,0.11699999999999999,0.11699999999999999
1802,University of the Pacific,Stockton,CA,3548.0,Priv,Mod,0.851,0.475,69116.0,69116.0,0.66,0.18,30586.0,Coed,0.004,0.035,0.38799999999999996,0.212,0.06
1803,University of the Potomac,Washington,DC,109.0,Proft,Non,0.67,,,,,,,Coed,0.013999999999999999,0.662,,0.042,0.349
1804,University of the Sacred Heart,San Juan,PR,4635.0,Priv,Mod,0.748,0.087,,,,,,Coed,,,,,
1805,University of the Sciences,Philadelphia,PA,2246.0,Priv,Mod,0.9,0.625,,,,,46210.0,Coed,0.005,0.059000000000000004,0.35100000000000003,0.037000000000000005,0.012
1806,University of the Southwest,Hobbs,NM,450.0,Priv,Mod,0.56,,,,,,,Coed,0.004,0.136,0.006999999999999999,0.47100000000000003,0.0
