,name,city,state,n_students,type,acceptance_difficulty,freshman_satisfaction,grad_rate,resident_cost,nonresident_cost,need_met,merit_aid,avg_grad_debt,gender_mix,pct_american_indian,pct_african_american,pct_asian_pacific_islander,pct_hispanic,pct_international
1071,University of Illinois at Urbana-Champaign,Champaign,IL,32695.0,Pub,Very,0.93,0.684,31922.0,49064.0,0.68,0.19,25550.0,Coed,0.001,0.064,0.18,0.096,0.154
1072,University of Indianapolis,Indianapolis,IN,4346.0,Priv,Mod,0.767,0.41100000000000003,44430.0,44430.0,0.7,0.88,36666.0,Coed,0.002,0.102,0.019,0.057,0.079
1073,University of Iowa,Iowa City,IA,22354.0,Pub,Mod,0.89,0.48200000000000004,20664.0,42630.0,0.64,0.44,28691.0,Coed,0.002,0.033,0.036000000000000004,0.073,0.11
1074,University of Kansas,Lawrence,KS,19338.0,Pub,Mod,0.83,0.42100000000000004,25862.0,42730.0,0.79,0.34,28112.0,Coed,0.004,0.045,0.051,0.085,0.057
1075,University of Kentucky,Lexington,KY,22136.0,Pub,Mod,0.845,0.442,30928.0,49248.0,0.56,0.83,32437.0,Coed,0.002,0.077,0.028999999999999998,0.05,0.023
1076,University of La Verne,La Verne,CA,2798.0,Priv,Mod,0.83,0.541,64000.0,64000.0,0.66,0.97,33384.0,Coed,0.002,0.052000000000000005,0.063,0.608,0.068
1077,University of Louisiana at Lafayette,Lafayette,LA,15870.0,Pub,Mod,0.76,0.146,28720.0,42448.0,0.72,0.74,29789.73867313916,Coed,0.004,0.22,0.023,0.038,0.021
1078,University of Louisiana at Monroe,Monroe,LA,7948.0,Pub,Mod,0.7677559478127401,0.203,16602.0,28702.0,0.74,0.91,29789.73867313916,Coed,0.004,0.23800000000000002,0.02,0.02,0.034
1079,University of Louisville,Louisville,KY,15642.0,Pub,Mod,0.8029999999999999,0.321,28898.0,44924.0,0.64,0.28,24631.0,Coed,0.001,0.11699999999999999,0.040999999999999995,0.054000000000000006,0.013000000000000001
1080,University of Maine,Orono,ME,9365.0,Pub,Mod,0.78,0.401,25604.0,45914.0,0.68,0.4,33890.0,Coed,0.008,0.02,0.015,0.042,0.019
1081,University of Maine at Augusta,Augusta,ME,4683.0,Pub,Non,0.56,0.052000000000000005,41820.71224165342,46243.2507936508,0.53,0.05,30457.0,Coed,0.017,0.012,0.006,0.017,0.004
1082,University of Maine at Farmington,Farmington,ME,1736.0,Pub,Mod,0.71,0.379,23132.0,33302.0,0.86,0.15,31529.0,Coed,0.006,0.025,0.009000000000000001,0.027999999999999997,0.004
1083,University of Maine at Fort Kent,Fort Kent,ME,1760.0,Pub,Min,0.61,0.20800000000000002,18735.0,22935.0,0.74,0.07,24096.0,Coed,0.009000000000000001,0.034,0.009000000000000001,0.033,0.07200000000000001
1084,University of Maine at Machias,Machias,ME,675.0,Pub,Mod,0.55,0.14,20516.0,27596.0,0.8,0.01,25702.0,Coed,0.036000000000000004,0.025,0.008,0.042,0.004
1085,University of Maine at Presque Isle,Presque Isle,ME,1554.0,Pub,Min,0.62,0.21899999999999997,20220.0,24510.0,0.86,0.11,20248.0,Coed,0.018000000000000002,0.026000000000000002,0.009000000000000001,0.02,0.021
1086,University of Mary Hardin-Baylor,Belton,TX,3397.0,Priv,Mod,0.73,0.311,39666.0,39666.0,0.61,0.16,38369.0,Coed,0.008,0.141,0.018000000000000002,0.218,0.009000000000000001
1087,University of Mary Washington,Fredericksburg,VA,4398.0,Pub,Very,0.84,0.599,31634.0,48058.0,0.43,0.82,32820.0,Coed,0.003,0.076,0.038,0.09,0.01
1088,University of Maryland,College Park,MD,30762.0,Pub,Mod,0.9520000000000001,0.669,28630.0,56697.0,0.66,0.36,28511.0,Coed,0.001,0.122,0.184,0.10099999999999999,0.047
1089,University of Maryland Baltimore County,Baltimore,MD,11260.0,Pub,Mod,0.87,0.392,28487.0,44121.0,0.63,0.53,26862.0,Coed,0.002,0.19,0.23,0.081,0.040999999999999995
1090,University of Maryland Eastern Shore,Princess Anne,MD,2603.0,Pub,Mod,0.625,0.20600000000000002,25797.0,36207.0,0.47,0.23,9861.0,Coed,0.002,0.7290000000000001,0.018000000000000002,0.042,0.028999999999999998
1091,University of Massachusetts Amherst,Amherst,MA,23515.0,Pub,Mod,0.907,0.7070000000000001,32872.0,52193.0,0.82,0.33,31897.0,Coed,0.001,0.049,0.11,0.07400000000000001,0.07200000000000001
1092,University of Massachusetts Boston,Boston,MA,12714.0,Pub,Mod,0.76,0.252,34237.0,54699.0,0.86,0.12,27109.0,Coed,0.001,0.192,0.153,0.185,0.107
1093,University of Massachusetts Dartmouth,North Dartmouth,MA,6841.0,Pub,Mod,0.71,0.37200000000000005,31294.0,47039.0,0.82,0.17,29000.0,Coed,0.002,0.16699999999999998,0.04,0.107,0.022000000000000002
1094,University of Massachusetts Lowell,Lowell,MA,14005.0,Pub,Mod,0.85,0.379,30550.0,48197.0,0.89,0.24,32744.0,Coed,0.001,0.065,0.11900000000000001,0.11800000000000001,0.04
1095,University of Memphis,Memphis,TN,17233.0,Pub,Mod,0.7609999999999999,0.226,21687.0,28539.0,0.74,0.84,26961.0,Coed,0.002,0.37200000000000005,0.038,0.057,0.017
1096,University of Miami,Coral Gables,FL,10832.0,Priv,Very,0.91,0.7240000000000001,70906.0,70906.0,0.95,0.52,22000.0,Coed,0.001,0.096,0.064,0.265,0.146
1097,University of Michigan,Ann Arbor,MI,30318.0,Pub,Very,0.97,0.79,31056.0,66698.0,0.91,0.41,27224.0,Coed,0.001,0.046,0.158,0.068,0.07
1098,University of Michigan - Dearborn,Dearborn,MI,7185.0,Pub,Mod,0.78,0.215,41820.71224165342,46243.2507936508,0.79,0.61,25909.0,Coed,0.003,0.086,0.086,0.064,0.02
1099,University of Michigan - Flint,Flint,MI,6434.0,Pub,Mod,0.77,0.145,24538.0,35824.0,0.71,0.65,29386.0,Coed,0.006999999999999999,0.13699999999999998,0.017,0.047,0.04
1100,"University of Minnesota, Crookston",Crookston,MN,2823.0,Pub,Min,0.65,0.316,24242.0,24242.0,0.83,0.24,28291.0,Coed,0.004,0.069,0.026000000000000002,0.038,0.051
1101,"University of Minnesota, Duluth",Duluth,MN,9977.0,Pub,Mod,0.787,0.35700000000000004,25575.0,30775.0,0.76,0.34,29910.0,Coed,0.005,0.021,0.037000000000000005,0.028999999999999998,0.016
1102,"University of Minnesota, Morris",Morris,MN,1554.0,Pub,Mod,0.77,0.521,24860.0,26914.0,0.77,0.23,25732.0,Coed,0.085,0.021,0.031,0.055,0.10800000000000001
1103,"University of Minnesota, Twin Cities",Minneapolis,MN,34633.0,Pub,Mod,0.93,0.655,29229.0,47527.0,0.76,0.19,26262.0,Coed,0.003,0.055,0.11,0.048,0.083
1104,University of Mississippi,University,MS,18737.0,Pub,Mod,0.853,0.386,25762.0,42034.0,0.78,0.38,31086.0,Coed,0.003,0.13,0.019,0.034,0.016
1105,University of Missouri - Columbia,Columbia,MO,22503.0,Pub,Mod,0.87,0.45899999999999996,26923.0,44794.0,0.61,0.28,27364.0,Coed,0.08,0.002,0.802,0.046,0.027999999999999997
1106,University of Missouri - Kansas City,Kansas City,MO,11708.0,Pub,Mod,0.75,0.222,41820.71224165342,46243.2507936508,0.62,0.27,25438.0,Coed,0.004,0.129,0.063,0.085,0.04
1107,University of Missouri - St. Louis,St. Louis,MO,13812.0,Pub,Mod,0.74,0.41,25591.0,43807.0,0.72,0.21,25110.0,Coed,0.004,0.175,0.055,0.035,0.033
1108,University of Mobile,Mobile,AL,1443.0,Priv,Mod,0.69,0.24600000000000002,39480.0,39480.0,0.67,0.86,30029.0,Coed,0.011000000000000001,0.195,0.013999999999999999,0.019,0.033
1109,University of Montana,Missoula,MT,9323.0,Pub,Mod,0.6920000000000001,0.248,21614.0,40478.0,0.67,0.68,28157.0,Coed,0.033,0.011000000000000001,0.013999999999999999,0.047,0.022000000000000002
1110,University of Montana Western,Dillon,MT,1505.0,Pub,Min,0.77,0.128,13807.0,25197.0,0.14,0.2,29789.73867313916,Coed,0.036000000000000004,0.012,0.012,0.035,0.001
1111,University of Mount Union,Alliance,OH,2116.0,Priv,Mod,0.7659999999999999,0.536,44935.0,44935.0,0.8,0.24,32680.0,Coed,0.005,0.085,0.008,0.040999999999999995,0.019
1112,University of Nebraska - Kearney,Kearney,NE,4843.0,Pub,Mod,0.7929999999999999,0.282,23157.0,30357.0,0.7,0.23,19200.0,Coed,0.001,0.025,0.009000000000000001,0.11800000000000001,0.051
1113,University of Nebraska - Lincoln,Lincoln,NE,20830.0,Pub,Mod,0.8320000000000001,0.406,25624.0,42064.0,0.78,0.2,22676.0,Coed,0.003,0.028999999999999998,0.033,0.07200000000000001,0.08900000000000001
1114,University of Nebraska - Omaha,Omaha,NE,12335.0,Pub,Min,0.75,0.142,17036.0,29726.0,0.65,0.12,26728.0,Coed,0.005,0.067,0.028999999999999998,0.09,0.034
1115,"University of Nevada, Las Vegas",Las Vegas,NV,25282.0,Pub,Mod,0.76,0.129,26665.0,42433.0,0.68,0.72,21333.0,Coed,0.003,0.079,0.17300000000000001,0.312,0.034
1116,"University of Nevada, Reno",Reno,NV,17930.0,Pub,Mod,0.81,0.483,24492.0,39543.0,0.62,0.72,22600.0,Coed,0.006999999999999999,0.032,0.08800000000000001,0.212,0.013000000000000001
1117,University of New England,Biddeford,ME,4423.0,Priv,Mod,0.775,0.54,57310.0,57310.0,0.7155396825396817,0.84,40683.0,Coed,0.005,0.024,0.054000000000000006,0.001,0.003
1118,University of New Hampshire,Durham,NH,12782.0,Pub,Mod,0.85,0.6890000000000001,31113.0,47643.0,0.79,0.2,40293.0,Coed,0.002,0.011000000000000001,0.027999999999999997,0.036000000000000004,0.039
1119,University of New Haven,West Haven,CT,5092.0,Priv,Mod,0.762,0.539,59480.0,59480.0,0.6,0.23,48673.0,Coed,0.004,0.124,0.035,0.128,0.043
1120,University of New Mexico,Albuquerque,NM,17859.0,Pub,Mod,0.736,0.215,24467.0,39884.0,0.7155396825396817,0.01,21635.0,Coed,0.057,0.025,0.043,0.5,0.024
